Age,State_of_Origin,Gender,NIN_Linkage_Count,Login_Frequency,Geographic_Velocity,Device_Reputation_Score,Sector_Conflict_Flag,Failed_Auth_Attempts,Access_Hour,BVN_Status,NHIA_Status,JAMB_Status,FRSC_Status,Voter_ID_Status,Age_Consistency_Score,Name_Mismatch_Flag,Sector_Access_Frequency,Anomaly_Flag
64,16,0,3,1,43.7493,0.6162,0,1,10,0,1,0,1,1,0.8921,0,13,0
49,10,1,4,1,14.4993,0.8698,0,0,22,1,1,0,1,1,0.9376,0,12,0
36,9,1,2,4,38.1969,0.9102,0,1,16,0,0,0,1,1,0.7796,0,11,0
29,8,0,3,5,31.8776,0.8458,0,2,20,0,1,1,0,1,0.7874,0,10,0
67,7,0,2,3,47.5644,0.6948,0,2,6,1,0,0,0,1,0.9118,0,8,0
80,34,1,5,4,78.6432,0.6585,0,1,22,1,1,1,1,1,0.7702,0,8,0
33,0,1,4,3,16.8509,0.5729,0,0,18,1,1,0,1,1,0.89,0,8,0
78,9,0,3,3,3.0256,0.5711,0,2,7,1,0,1,1,0,0.8405,0,15,0
29,21,0,4,4,34.3176,0.5951,0,0,12,1,0,1,1,1,0.9286,0,2,0
32,23,0,5,4,69.5736,0.9763,0,2,17,1,1,1,1,1,0.9832,0,8,0
22,13,0,3,3,52.4662,0.9832,0,2,13,1,0,1,1,0,0.9017,0,4,0
71,21,0,3,3,73.2895,0.8839,0,2,12,1,1,0,0,1,0.7831,0,15,0
28,35,0,2,1,61.5437,0.6903,0,0,14,1,0,1,0,0,0.8317,0,8,0
76,22,1,4,2,22.9541,0.9843,0,1,8,1,1,0,1,1,0.8273,0,3,0
74,11,0,3,1,2.5386,0.6609,0,2,7,1,0,0,1,1,0.8887,0,14,0
78,18,1,4,1,57.3931,0.9776,0,2,6,1,1,1,0,1,0.9151,0,10,0
32,19,0,5,5,47.0151,0.6208,0,0,21,1,1,1,1,1,0.9796,0,14,0
42,18,0,3,2,55.1659,0.7978,0,1,11,1,1,0,1,0,0.9693,0,9,0
76,12,0,2,5,24.6383,0.7352,0,2,8,0,1,0,0,1,0.7773,0,10,0
32,34,1,5,5,15.3127,0.5978,0,0,17,1,1,1,1,1,0.7548,0,10,0
19,26,0,5,1,26.6766,0.7735,0,2,19,1,1,1,1,1,0.9062,0,14,0
78,23,0,2,4,22.7564,0.8193,0,0,21,0,0,0,1,1,0.7503,0,2,0
27,16,0,5,1,23.3615,0.9065,0,1,7,1,1,1,1,1,0.8963,0,12,0
23,21,0,2,4,52.3136,0.9033,0,1,13,0,0,0,1,1,0.8059,0,2,0
73,16,0,3,1,41.7541,0.9782,0,0,7,1,1,0,0,1,0.9755,0,2,0
23,33,0,3,19,18.905,0.7175,0,0,23,1,0,1,1,0,0.4249,0,31,1
47,33,0,3,4,23.2211,0.6339,0,2,7,1,1,0,0,1,0.9952,0,6,0
76,29,0,4,2,71.7002,0.8214,0,1,13,1,1,0,1,1,0.7601,0,3,0
62,32,1,3,2,59.3748,0.8942,0,1,20,1,0,0,1,1,0.886,0,1,0
79,31,1,3,5,41.942,0.6528,0,2,11,1,0,0,1,1,0.7925,0,11,0
49,18,0,3,2,34.8326,0.6666,0,1,22,1,0,0,1,1,0.9044,0,4,0
47,14,0,3,4,67.5896,0.7933,0,0,21,1,1,0,0,1,0.9263,0,12,0
34,14,0,5,3,16.8341,0.7995,0,1,19,1,1,1,1,1,0.8879,0,3,0
63,14,1,2,5,75.1296,0.5697,0,2,20,1,0,0,1,0,0.9008,0,13,0
51,33,0,4,4,66.5959,0.5614,0,0,18,1,1,0,1,1,0.95,0,10,0
47,21,1,4,20,1135.2902,0.7192,1,0,12,1,1,0,1,1,0.4582,0,4,1
36,30,1,1,5,6.6255,0.8722,0,2,8,0,0,0,1,0,0.8666,0,7,0
44,7,0,4,2,72.3847,0.9556,0,0,11,1,1,1,0,1,0.997,0,14,0
22,23,0,3,3,65.9109,0.9435,0,2,18,1,1,0,0,1,0.8458,0,6,0
33,31,0,3,3,28.2773,0.8369,0,0,15,1,0,0,1,1,0.913,0,5,0
49,21,1,3,4,42.4864,0.5892,0,0,12,1,1,0,0,1,0.8236,0,7,0
55,25,0,4,3,39.2847,0.6156,0,0,11,1,1,0,1,1,0.9853,0,6,0
61,11,0,3,1,74.9857,0.6523,0,2,13,1,0,1,0,1,0.8154,0,14,0
78,31,0,3,1,34.228,0.9073,0,0,9,1,0,0,1,1,0.7947,0,7,0
42,34,0,4,2,64.2552,0.9576,0,2,8,1,1,0,1,1,0.8903,0,10,0
25,14,1,5,5,68.7259,0.9292,0,1,13,1,1,1,1,1,0.8141,0,8,0
41,14,1,4,1,10.722,0.619,0,1,6,1,0,1,1,1,0.8293,0,5,0
41,11,0,4,4,31.2507,0.6351,0,2,17,1,1,0,1,1,0.946,0,10,0
20,19,0,3,8,46.9412,0.018,0,3,11,1,0,1,0,1,0.6058,1,20,1
54,5,1,2,2,41.2854,0.8284,0,1,13,0,1,0,0,1,0.893,0,6,0
63,29,0,4,4,33.6733,0.8331,0,0,9,1,0,1,1,1,0.9651,0,14,0
73,23,0,4,4,74.214,0.7491,0,2,20,1,1,1,0,1,0.7906,0,7,0
73,11,0,4,3,66.7369,0.7821,0,2,10,1,1,0,1,1,0.7724,0,11,0
56,2,0,3,1,61.1206,0.6271,0,2,7,1,0,0,1,1,0.928,0,12,0
29,21,0,5,5,70.6855,0.8979,0,1,7,1,1,1,1,1,0.7663,0,1,0
18,8,1,3,1,48.6851,0.6694,0,1,21,1,0,1,0,1,0.7666,0,12,0
54,5,0,2,2,66.9725,0.7945,0,0,12,0,1,0,0,1,0.9189,0,10,0
64,33,1,4,23,42.1619,0.0997,0,23,17,1,1,0,1,1,0.7369,0,14,1
45,11,0,2,5,71.9237,0.7672,0,1,7,0,1,1,0,0,0.8563,0,12,0
40,20,1,3,2,23.1049,0.8272,0,2,20,1,1,0,0,1,0.9618,0,15,0
28,4,1,3,5,59.9958,0.9038,0,2,22,1,0,1,0,1,0.96,0,12,0
49,17,0,2,2,79.111,0.9572,0,2,13,1,1,0,0,0,0.9029,0,11,0
22,27,0,4,3,48.5471,0.6028,0,1,16,1,1,1,0,1,0.8031,0,4,0
32,25,0,3,5,39.7955,0.6921,0,1,21,1,0,0,1,1,0.8487,0,6,0
30,26,0,5,2,5.7943,0.5655,0,2,9,1,1,1,1,1,0.8489,0,5,0
25,4,0,3,2,45.9584,0.7583,0,1,10,1,0,0,1,1,0.7969,0,10,0
63,11,1,3,4,57.6615,0.6729,0,1,12,1,0,0,1,1,0.9052,0,13,0
39,23,1,2,4,51.8632,0.6319,0,1,11,1,1,0,0,0,0.9014,0,14,0
26,36,0,3,2,11.86,0.885,0,1,12,1,0,1,0,1,0.8854,0,10,0
53,6,0,4,5,68.1791,0.8235,0,2,14,1,1,1,0,1,0.8359,0,3,0
56,31,0,3,4,77.6565,0.6435,0,1,7,1,1,0,0,1,0.9923,0,4,0
79,35,0,5,4,28.0924,0.8017,0,2,16,1,1,1,1,1,0.85,0,15,0
36,20,1,3,5,43.6345,0.6013,0,1,6,1,0,0,1,1,0.8187,0,15,0
65,17,0,1,3,70.7576,0.5511,0,0,8,1,0,0,0,0,0.8645,0,8,0
46,27,0,3,5,37.7513,0.9427,0,2,7,1,0,0,1,1,0.815,0,5,0
63,18,0,4,5,43.5584,0.7769,0,1,14,1,1,0,1,1,0.8544,0,2,0
19,3,1,4,4,57.2868,0.9466,0,0,17,1,1,1,0,1,0.9103,0,7,0
54,25,1,2,2,59.4662,0.8349,0,0,10,1,0,0,0,1,0.8692,0,13,0
51,1,0,3,5,0.2704,0.7243,0,1,6,0,0,1,1,1,0.7587,0,9,0
47,18,1,2,5,48.2826,0.8548,0,2,21,0,1,0,0,1,0.7554,0,2,0
34,12,1,3,3,15.6373,0.6777,0,2,20,1,0,1,0,1,0.9281,0,13,0
73,9,0,4,2,47.6033,0.9721,0,1,18,1,1,1,1,0,0.9109,0,6,0
64,35,1,3,5,65.3169,0.6075,0,0,12,1,1,0,0,1,0.8563,0,4,0
74,32,1,2,2,39.5754,0.8774,0,0,20,1,0,0,0,1,0.7624,0,13,0
38,6,1,4,2,29.3084,0.9663,0,0,13,1,0,1,1,1,0.9871,0,14,0
63,9,1,2,1,60.6357,0.9305,0,0,15,1,1,0,0,0,0.9413,0,14,0
45,9,1,4,3,69.6467,0.9212,0,1,18,1,1,0,1,1,0.9681,0,15,0
66,18,1,3,1,59.306,0.9949,0,2,14,1,0,0,1,1,0.9736,0,7,0
47,1,0,2,4,68.8988,0.7493,0,0,16,1,0,1,0,0,0.7878,0,9,0
41,32,0,4,3,51.0761,0.9503,0,2,7,0,1,1,1,1,0.9702,0,6,0
59,16,0,4,2,53.1669,0.9296,0,2,8,1,1,0,1,1,0.9937,0,8,0
44,16,0,1,1,55.1337,0.9157,0,1,14,1,0,0,0,0,0.9363,0,13,0
52,0,1,4,3,19.6932,0.7995,0,0,11,1,1,0,1,1,0.8071,0,3,0
21,20,1,3,1,67.8634,0.997,0,2,10,1,0,0,1,1,0.7909,0,13,0
21,19,0,4,5,44.1106,0.5686,0,2,7,1,0,1,1,1,0.8451,0,15,0
41,17,0,3,1,48.6763,0.6406,0,2,16,1,1,0,0,1,0.969,0,4,0
46,5,0,3,1,47.1663,0.5987,0,1,19,1,0,0,1,1,0.9368,0,11,0
27,15,1,3,2,31.8311,0.7944,0,0,22,1,0,0,1,1,0.9769,0,13,0
24,19,1,4,5,57.1032,0.8373,0,1,16,1,1,0,1,1,0.9876,0,4,0
23,1,0,3,2,48.3306,0.6014,0,2,19,0,1,1,0,1,0.8092,0,10,0
46,34,0,3,3,51.6735,0.9688,0,0,8,1,0,0,1,1,0.8194,0,3,0
61,27,0,3,3,64.1368,0.6485,0,1,14,1,1,0,1,0,0.8936,0,14,0
53,24,0,3,1,21.0292,0.7672,0,1,21,1,0,1,1,0,0.9977,0,11,0
69,9,1,2,2,49.8568,0.854,0,2,9,1,0,0,0,1,0.9265,0,6,0
56,29,1,3,5,11.8471,0.8008,0,2,15,1,1,0,0,1,0.9476,0,5,0
71,16,0,4,4,76.1108,0.5746,0,2,8,1,1,0,1,1,0.8923,0,11,0
26,31,0,2,3,50.2409,0.8414,0,0,6,0,0,0,1,1,0.93,0,3,0
33,28,1,3,3,27.5451,0.651,0,1,17,0,0,1,1,1,0.9577,0,10,0
78,30,0,4,2,75.221,0.7866,0,0,19,1,1,0,1,1,0.8108,0,5,0
60,3,0,1,4,35.2822,0.8912,0,0,15,0,0,0,1,0,0.9321,0,5,0
37,24,0,4,3,13.5073,0.7543,0,2,18,1,1,0,1,1,0.9376,0,2,0
39,0,1,3,4,49.2169,0.8108,0,2,13,1,1,1,0,0,0.9127,0,12,0
79,29,0,5,1,43.4138,0.7092,0,0,16,1,1,1,1,1,0.9036,0,14,0
56,4,0,3,3,0.9375,0.7809,0,2,7,0,1,0,1,1,0.8587,0,11,0
20,33,0,4,5,60.6706,0.8654,0,0,21,1,1,1,1,0,0.8754,0,8,0
63,19,1,5,4,33.1275,0.7723,0,0,11,1,1,1,1,1,0.8951,0,12,0
51,5,1,3,5,77.0282,0.6891,0,0,12,1,0,0,1,1,0.909,0,13,0
42,9,0,2,2,66.237,0.8779,0,2,22,1,0,0,1,0,0.7884,0,12,0
56,3,0,3,5,18.3846,0.9705,0,1,8,1,0,0,1,1,0.8603,0,4,0
26,22,0,5,1,24.3704,0.6366,0,1,19,1,1,1,1,1,0.8784,0,15,0
48,6,0,3,1,22.4939,0.8876,0,2,14,1,1,0,0,1,0.8159,0,15,0
35,7,0,5,5,7.0954,0.818,0,1,18,1,1,1,1,1,0.9399,0,2,0
49,34,0,2,5,43.82,0.7182,0,2,21,1,0,0,0,1,0.9284,0,14,0
24,16,1,4,3,20.6756,0.8182,0,0,18,1,1,1,1,0,0.8188,0,10,0
26,21,1,3,1,24.2902,0.5644,0,2,17,1,0,1,0,1,0.8628,0,6,0
47,15,0,3,1,20.69,0.982,0,1,19,1,0,0,1,1,0.8929,0,13,0
32,15,0,3,4,66.4286,0.9678,0,2,9,1,0,0,1,1,0.8468,0,9,0
64,31,1,4,4,53.525,0.8014,0,2,16,1,1,0,1,1,0.8846,0,5,0
21,13,0,3,2,20.239,0.8886,0,1,20,1,1,0,0,1,0.91,0,13,0
64,9,0,3,2,29.3322,0.7946,0,1,13,1,1,1,0,0,0.7612,0,11,0
79,22,1,2,4,34.873,0.9446,0,2,22,1,0,0,0,1,0.8512,0,11,0
51,33,1,1,6,7.503,0.0609,0,4,5,0,0,0,0,0,0.5087,0,10,1
56,18,1,3,5,56.6041,0.9758,0,1,22,0,1,0,1,1,0.8817,0,11,0
33,19,0,4,1,34.0883,0.7665,0,2,18,1,1,1,1,0,0.9244,0,15,0
28,17,1,4,4,57.8189,0.7378,0,2,17,1,1,1,0,1,0.9434,0,6,0
80,36,0,3,2,17.9351,0.9721,0,0,12,1,1,0,0,1,0.8964,0,6,0
49,3,0,4,1,38.5792,0.7401,0,2,21,1,1,0,1,1,0.9585,0,11,0
70,9,0,3,3,35.6064,0.8821,0,2,17,1,0,0,1,1,0.8431,0,5,0
78,24,0,4,5,61.9505,0.8386,0,1,21,1,1,1,0,1,0.775,0,15,0
23,28,0,4,4,61.8318,0.6815,0,0,22,0,1,1,1,1,0.8612,0,4,0
21,26,1,4,5,62.2891,0.9789,0,2,11,1,1,0,1,1,0.7814,0,1,0
54,3,1,3,1,72.953,0.683,0,2,20,1,0,0,1,1,0.9318,0,6,0
51,30,1,4,3,42.4019,0.8083,0,0,13,1,1,0,1,1,0.7955,0,13,0
33,11,1,4,2,5.4526,0.8907,0,1,19,1,0,1,1,1,0.8259,0,14,0
67,5,1,2,2,43.9491,0.9037,0,2,10,0,1,0,0,1,0.7768,0,13,0
37,23,1,4,3,62.3697,0.8605,0,2,11,1,1,0,1,1,0.7899,0,5,0
73,8,0,4,1,18.8707,0.7918,0,2,16,1,1,0,1,1,0.9212,0,15,0
35,16,1,4,12,1801.2074,0.5271,1,0,8,1,0,1,1,1,0.7921,0,20,1
31,12,0,4,1,11.6512,0.711,0,1,13,1,1,1,1,0,0.7939,0,1,0
65,22,0,2,5,35.9207,0.5926,0,1,18,1,0,0,0,1,0.841,0,5,0
55,27,1,4,4,54.9045,0.671,0,1,19,1,1,0,1,1,0.9767,0,6,0
70,11,0,2,1,27.6007,0.8199,0,0,6,1,1,0,0,0,0.8533,0,14,0
50,32,0,3,3,8.8542,0.5862,0,2,8,1,0,1,0,1,0.9705,0,7,0
26,26,1,4,1,19.2114,0.6738,0,1,19,1,0,1,1,1,0.7692,0,5,0
57,10,1,2,5,46.4654,0.8349,0,1,6,1,0,0,0,1,0.9445,0,13,0
66,0,1,1,4,1.3567,0.5875,0,0,10,1,0,0,0,0,0.9303,0,4,0
52,15,1,3,4,33.7159,0.6701,0,2,15,1,0,0,1,1,0.762,0,5,0
28,20,0,4,1,31.1194,0.9566,0,0,10,0,1,1,1,1,0.9676,0,5,0
79,12,0,3,1,29.6693,0.9481,0,2,22,1,1,0,0,1,0.794,0,1,0
59,18,0,3,5,12.0108,0.6046,0,0,10,1,1,0,1,0,0.8174,0,10,0
35,7,0,4,5,47.8084,0.972,0,2,8,1,1,1,0,1,0.7687,0,12,0
80,25,0,4,1,51.0825,0.9839,0,2,15,1,1,0,1,1,0.8486,0,7,0
20,2,0,5,2,79.4183,0.709,0,0,20,1,1,1,1,1,0.7976,0,8,0
56,31,1,2,2,24.2994,0.5624,0,1,22,1,0,0,1,0,0.9608,0,15,0
18,3,0,3,1,27.0986,0.6206,0,2,7,1,1,0,0,1,0.9298,0,8,0
25,9,1,5,5,62.9316,0.9248,0,1,20,1,1,1,1,1,0.8192,0,11,0
60,6,0,3,1,21.0769,0.6031,0,1,21,1,1,0,1,0,0.8233,0,8,0
55,32,1,3,5,0.2146,0.6504,0,2,19,1,1,0,0,1,0.8432,0,5,0
72,27,1,3,2,32.6685,0.5587,0,2,7,1,0,0,1,1,0.8623,0,4,0
21,15,1,4,3,30.1969,0.7605,0,1,9,1,1,1,0,1,0.9092,0,2,0
59,1,1,4,5,72.7733,0.6675,0,0,13,1,1,1,1,0,0.9213,0,3,0
66,0,1,3,2,72.6688,0.5896,0,2,22,0,1,0,1,1,0.8291,0,2,0
23,16,0,3,4,53.506,0.8974,0,1,8,1,1,0,0,1,0.9078,0,7,0
62,0,0,2,2,24.5894,0.6925,0,2,8,1,0,0,0,1,0.7991,0,9,0
75,29,0,3,1,18.093,0.8963,0,1,11,1,0,0,1,1,0.9975,0,15,0
61,14,0,2,3,63.2685,0.8424,0,1,7,1,0,0,0,1,0.8579,0,14,0
45,19,1,4,3,69.096,0.5712,0,2,21,1,1,0,1,1,0.8116,0,9,0
39,5,1,3,4,33.4173,0.7572,0,1,19,1,1,0,0,1,0.8972,0,8,0
40,36,1,4,3,53.125,0.9206,0,2,16,1,1,0,1,1,0.7535,0,15,0
73,32,1,3,2,11.8247,0.5856,0,1,16,1,0,0,1,1,0.9422,0,5,0
39,28,1,3,3,6.5846,0.6309,0,2,10,1,1,0,0,1,0.9276,0,7,0
65,1,0,2,5,1.083,0.8433,0,0,20,1,0,0,1,0,0.8841,0,10,0
66,11,0,2,3,3.2471,0.9148,0,0,21,1,0,0,0,1,0.985,0,12,0
27,13,1,5,1,41.1314,0.762,0,2,8,1,1,1,1,1,0.8,0,1,0
34,6,0,1,4,17.4519,0.8101,0,2,12,1,0,0,0,0,0.7635,0,15,0
22,3,0,3,1,74.9421,0.5928,0,0,15,0,0,1,1,1,0.805,0,11,0
54,19,1,3,2,18.7413,0.781,0,0,11,0,1,0,1,1,0.8,0,3,0
43,18,1,4,3,8.8144,0.818,0,0,19,1,1,0,1,1,0.895,0,6,0
25,5,0,5,4,36.6636,0.7724,0,2,9,1,1,1,1,1,0.896,0,1,0
57,30,1,1,1,6.5193,0.9243,0,0,9,0,0,0,0,1,0.9842,0,8,0
35,7,0,3,1,23.7277,0.8673,0,0,11,1,0,0,1,1,0.7571,0,9,0
44,13,1,3,2,8.594,0.764,0,2,14,1,1,0,0,1,0.8398,0,7,0
70,11,1,2,4,24.2836,0.7764,0,0,14,1,0,0,0,1,0.8308,0,2,0
23,21,0,4,4,31.4457,0.7729,0,1,6,1,0,1,1,1,0.8274,0,2,0
59,21,1,3,4,64.0583,0.9786,0,1,14,1,0,0,1,1,0.9273,0,9,0
22,25,1,2,4,47.434,0.8108,0,0,22,0,1,1,0,0,0.93,0,9,0
47,35,1,3,4,43.6577,0.6353,0,2,7,1,0,0,1,1,0.9248,0,13,0
73,24,1,3,2,32.5638,0.992,0,1,10,1,1,0,1,0,0.8326,0,2,0
69,27,1,2,5,68.6021,0.9079,0,1,15,0,1,0,0,1,0.8074,0,7,0
36,24,1,4,5,45.4414,0.5883,0,1,20,1,1,0,1,1,0.925,0,3,0
34,9,0,4,4,77.1279,0.7954,0,1,17,1,0,1,1,1,0.798,0,7,0
54,33,1,3,2,77.7732,0.9138,0,0,7,1,0,0,1,1,0.8558,0,11,0
24,21,1,1,3,44.0187,0.6987,0,0,8,0,0,0,1,0,0.8687,0,15,0
43,29,1,3,4,46.4564,0.7231,0,0,21,1,1,0,1,0,0.9106,0,14,0
67,2,0,3,2,75.3455,0.7686,0,2,6,1,1,0,0,1,0.9447,0,9,0
37,29,0,2,3,9.5673,0.9737,0,2,18,0,1,0,0,1,0.76,0,4,0
64,30,1,2,3,48.2902,0.6113,0,0,17,0,1,0,0,1,0.78,0,9,0
45,6,1,3,4,16.1539,0.6203,0,0,21,1,0,0,1,1,0.9889,0,10,0
38,34,1,3,5,64.2932,0.933,0,2,6,1,1,0,0,1,0.8897,0,15,0
28,20,0,3,1,6.6194,0.7206,0,2,12,0,1,1,0,1,0.7976,0,13,0
75,8,1,4,4,46.1151,0.7383,0,2,17,1,1,0,1,1,0.8039,0,8,0
58,18,0,3,4,38.4796,0.865,0,2,19,0,1,0,1,1,0.7895,0,6,0
69,15,0,4,3,11.8953,0.8702,0,1,10,1,1,0,1,1,0.8463,0,6,0
64,18,0,3,5,20.8706,0.6125,0,0,13,1,1,0,0,1,0.7837,0,13,0
28,11,1,3,4,16.1774,0.7505,0,0,17,1,1,0,0,1,0.9846,0,11,0
44,30,1,4,1,2.9591,0.6129,0,2,14,1,1,0,1,1,0.9809,0,9,0
20,29,0,1,5,19.9461,0.6247,0,2,18,0,0,0,1,0,0.9029,0,3,0
31,36,0,3,4,37.0067,0.5841,0,2,17,0,1,0,1,1,0.7764,0,10,0
47,3,1,3,3,9.86,0.7472,0,1,8,1,1,0,1,0,0.8589,0,7,0
49,14,0,3,3,18.158,0.7705,0,1,19,0,1,0,1,1,0.7557,0,9,0
29,27,1,4,4,40.9733,0.6667,0,1,7,1,1,1,0,1,0.8118,0,9,0
69,5,1,3,4,60.622,0.758,0,1,21,1,0,0,1,1,0.7728,0,1,0
57,33,1,4,5,68.4212,0.7248,0,0,11,1,1,0,1,1,0.9935,0,6,0
44,5,1,3,1,50.2415,0.9967,0,0,9,1,1,0,0,1,0.767,0,6,0
28,17,1,3,4,27.7574,0.8315,0,2,18,1,0,1,0,1,0.7731,0,1,0
54,32,1,4,4,74.8387,0.1468,0,8,23,1,1,0,1,1,0.7548,0,15,1
71,31,1,4,1,13.541,0.667,0,1,14,1,1,1,0,1,0.9682,0,2,0
77,22,1,2,1,78.3298,0.5983,0,1,17,1,1,0,0,0,0.8916,0,4,0
27,17,0,2,4,17.7153,0.7154,0,1,21,0,0,0,1,1,0.835,0,4,0
70,18,1,2,1,66.5269,0.8414,0,0,15,1,1,0,0,0,0.8485,0,13,0
61,11,1,3,5,55.5368,0.7869,0,1,16,1,0,0,1,1,0.9755,0,15,0
73,2,0,3,1,27.4668,0.9858,0,1,21,1,0,0,1,1,0.8893,0,15,0
72,1,1,3,5,76.5028,0.6886,0,1,19,1,1,0,0,1,0.8635,0,7,0
69,7,1,3,2,47.9844,0.6478,0,2,17,1,1,0,1,0,0.8421,0,9,0
32,21,1,3,2,41.6328,0.5716,0,0,13,1,0,1,0,1,0.9303,0,14,0
40,12,0,4,5,6.3011,0.8585,0,0,17,1,1,0,1,1,0.7765,0,2,0
64,6,0,3,1,49.7839,0.9246,0,0,14,1,1,0,1,0,0.7625,0,6,0
53,3,1,4,2,62.3883,0.5998,0,1,17,1,1,0,1,1,0.9473,0,4,0
55,12,0,3,2,54.1894,0.5828,0,0,16,1,0,0,1,1,0.8991,0,1,0
62,24,1,2,2,0.9716,0.9356,0,0,16,1,0,1,0,0,0.9249,0,13,0
31,26,0,3,4,9.6615,0.6571,0,0,15,1,1,0,1,0,0.8842,0,5,0
41,34,1,3,7,86.7909,0.0796,0,5,10,1,1,0,0,1,0.7471,0,14,1
63,1,1,3,2,35.0101,0.8718,0,1,9,1,0,0,1,1,0.9004,0,5,0
71,16,1,3,5,73.1047,0.6809,0,2,16,1,1,0,0,1,0.8753,0,13,0
74,12,0,4,3,59.0537,0.7135,0,1,6,1,1,0,1,1,0.8346,0,6,0
61,10,0,4,5,35.4906,0.6603,0,1,16,1,1,0,1,1,0.7779,0,5,0
52,17,0,3,1,1.0456,0.6749,0,2,18,1,0,0,1,1,0.8707,0,13,0
75,28,1,3,2,1.376,0.8429,0,0,8,1,1,0,0,1,0.9657,0,9,0
63,35,0,3,3,25.3087,0.7481,0,1,15,1,1,0,0,1,0.8022,0,6,0
51,33,0,3,3,0.5134,0.9715,0,0,15,1,1,0,0,1,0.9286,0,8,0
23,22,1,3,3,48.5911,0.8207,0,2,6,1,1,1,0,0,0.9467,0,11,0
23,5,0,2,2,46.0183,0.656,0,2,10,1,1,0,0,0,0.793,0,10,0
63,32,1,2,4,16.3916,0.8232,0,1,10,1,0,0,1,0,0.87,0,15,0
49,34,0,3,4,9.7056,0.6041,0,0,7,1,1,0,0,1,0.9294,0,3,0
57,34,0,3,1,34.6986,0.8374,0,1,17,1,1,0,0,1,0.7915,0,4,0
46,8,1,5,1,76.7393,0.8036,0,1,12,1,1,1,1,1,0.8662,0,6,0
60,10,1,3,5,0.6661,0.9029,0,0,6,1,0,0,1,1,0.7811,0,15,0
80,25,1,4,1,49.3096,0.948,0,0,7,1,1,0,1,1,0.9643,0,5,0
72,4,1,3,4,14.581,0.7332,0,0,13,1,1,1,0,0,0.8758,0,2,0
31,28,0,5,1,59.2441,0.9174,0,2,10,1,1,1,1,1,0.9849,0,3,0
53,0,1,5,1,57.4671,0.6528,0,1,20,1,1,1,1,1,0.9622,0,7,0
73,19,0,2,2,6.7661,0.6663,0,0,9,1,0,0,0,1,0.781,0,15,0
44,5,0,4,4,40.1122,0.8786,0,0,21,1,1,0,1,1,0.8918,0,5,0
59,2,1,4,4,58.4297,0.9188,0,0,14,1,1,0,1,1,0.7837,0,6,0
50,15,1,4,4,37.9191,0.6931,0,1,21,1,1,0,1,1,0.7785,0,14,0
30,15,1,5,2,45.4987,0.9733,0,0,11,1,1,1,1,1,0.7893,0,13,0
25,27,0,4,5,64.1624,0.7519,0,1,8,1,0,1,1,1,0.8953,0,6,0
35,13,1,4,5,60.6306,0.6925,0,1,15,1,1,0,1,1,0.8901,0,3,0
35,31,0,4,3,38.505,0.6107,0,1,12,1,1,0,1,1,0.7576,0,6,0
52,4,1,3,3,72.9245,0.7115,0,2,19,1,0,0,1,1,0.7964,0,9,0
80,15,1,3,2,75.9626,0.7892,0,0,15,1,0,0,1,1,0.7834,0,12,0
